Site_ID,Row,Col,X_mm,Y_mm,Sample_Num,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
10,7,10,-138.0,-74.0,7,469.7662,44.4450,10569609.0000,47905696.0000,47.9057
10,7,10,-138.0,-74.0,8,468.8813,44.1538,10619285.0000,48130848.0000,48.1308
10,7,10,-138.0,-74.0,9,468.0413,43.8825,10665784.0000,48341600.0000,48.3416
10,7,10,-138.0,-74.0,10,469.4012,43.6975,10742063.0000,48687328.0000,48.6873
11,8,10,-138.0,-68.0,1,95.7800,38.4025,2494108.5000,11304298.0000,11.3043
11,8,10,-138.0,-68.0,2,107.4975,37.9000,2836345.7500,12855454.0000,12.8555
11,8,10,-138.0,-68.0,3,113.1338,37.9650,2979949.0000,13506321.0000,13.5063
11,8,10,-138.0,-68.0,4,116.6200,37.3987,3118286.2500,14133321.0000,14.1333
11,8,10,-138.0,-68.0,5,118.6888,37.3150,3180725.0000,14416318.0000,14.4163
11,8,10,-138.0,-68.0,6,117.0700,37.0175,3162558.2500,14333979.0000,14.3340
11,8,10,-138.0,-68.0,7,119.8475,37.0850,3231697.5000,14647346.0000,14.6473
11,8,10,-138.0,-68.0,8,119.5150,36.9637,3233302.7500,14654622.0000,14.6546
11,8,10,-138.0,-68.0,9,122.3538,36.8075,3324153.0000,15066391.0000,15.0664
11,8,10,-138.0,-68.0,10,123.3025,36.8837,3343003.7500,15151831.0000,15.1518
12,8,9,-144.0,-68.0,1,897.3362,24.3837,36800584.0000,166794976.0000,166.7950
12,8,9,-144.0,-68.0,2,873.8063,24.0975,36261284.0000,164350656.0000,164.3507
12,8,9,-144.0,-68.0,3,848.7037,23.7375,35753716.0000,162050144.0000,162.0501
12,8,9,-144.0,-68.0,4,824.7687,23.7425,34738076.0000,157446864.0000,157.4469
12,8,9,-144.0,-68.0,5,872.1825,23.6650,36855376.0000,167043312.0000,167.0433
12,8,9,-144.0,-68.0,6,868.0300,23.4812,36966940.0000,167548960.0000,167.5490
12,8,9,-144.0,-68.0,7,866.9800,23.5450,36822256.0000,166893200.0000,166.8932
12,8,9,-144.0,-68.0,8,858.2575,23.4788,36554652.0000,165680304.0000,165.6803
12,8,9,-144.0,-68.0,9,857.5762,23.4462,36576264.0000,165778256.0000,165.7783
12,8,9,-144.0,-68.0,10,854.1912,23.4000,36503900.0000,165450288.0000,165.4503
13,8,8,-150.0,-68.0,1,342.5262,24.2000,14153977.0000,64151488.0000,64.1515
13,8,8,-150.0,-68.0,2,360.4912,23.2625,15496667.0000,70237096.0000,70.2371
13,8,8,-150.0,-68.0,3,366.4250,23.1513,15827440.0000,71736288.0000,71.7363
13,8,8,-150.0,-68.0,4,354.1237,22.8937,15468142.0000,70107808.0000,70.1078
13,8,8,-150.0,-68.0,5,364.7375,22.7262,16049173.0000,72741272.0000,72.7413
13,8,8,-150.0,-68.0,6,353.6187,22.4487,15752270.0000,71395592.0000,71.3956
13,8,8,-150.0,-68.0,7,362.1588,22.3625,16194916.0000,73401840.0000,73.4018
13,8,8,-150.0,-68.0,8,359.0038,22.3137,16088905.0000,72921352.0000,72.9214
13,8,8,-150.0,-68.0,9,354.5500,22.1925,15976119.0000,72410160.0000,72.4102
13,8,8,-150.0,-68.0,10,361.5812,21.9850,16446725.0000,74543136.0000,74.5431
14,8,7,-156.0,-68.0,1,712.6125,12.2563,58142780.0000,263526336.0000,263.5263
14,8,7,-156.0,-68.0,2,732.2537,11.9238,61411364.0000,278340864.0000,278.3409
14,8,7,-156.0,-68.0,3,745.9138,11.6938,63787388.0000,289109952.0000,289.1100
14,8,7,-156.0,-68.0,4,760.3212,11.3975,66709476.0000,302354048.0000,302.3540
14,8,7,-156.0,-68.0,5,771.4387,11.2900,68329384.0000,309696096.0000,309.6961
14,8,7,-156.0,-68.0,6,778.4000,11.2100,69438008.0000,314720832.0000,314.7208
14,8,7,-156.0,-68.0,7,779.2925,11.1250,70048760.0000,317489024.0000,317.4890
14,8,7,-156.0,-68.0,8,784.3237,11.0513,70971496.0000,321671232.0000,321.6712
14,8,7,-156.0,-68.0,9,787.8600,11.0013,71615496.0000,324590080.0000,324.5901
14,8,7,-156.0,-68.0,10,786.5837,10.9563,71793160.0000,325395328.0000,325.3953
15,8,6,-162.0,-68.0,1,984.9437,15.4462,63765880.0000,289012480.0000,289.0125
15,8,6,-162.0,-68.0,2,1013.7687,14.8363,68330528.0000,309701280.0000,309.7013
15,8,6,-162.0,-68.0,3,1046.3199,14.3500,72914280.0000,330476704.0000,330.4767
15,8,6,-162.0,-68.0,4,1064.7075,14.0337,75867648.0000,343862528.0000,343.8625
15,8,6,-162.0,-68.0,5,1079.4775,13.8075,78180520.0000,354345408.0000,354.3454
